,result__problem__contestId,result__problem__name,result__problem__rating,result__problem__tags__001,result__problem__tags__002,result__problem__tags__009,result__author__members__handle,result__author__participantType,result__author__teamId,result__author__teamName,result__verdict
0,1690.0,Shifting String,1700.0,graphs,math,,_Satoru_,PRACTICE,,,OK
1,1673.0,Palindrome Basis,1500.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
2,1635.0,Infinite Set,1800.0,bitmasks,dp,,_Satoru_,PRACTICE,,,OK
3,1646.0,Weight the Tree,2000.0,constructive algorithms,dfs and similar,,_Satoru_,PRACTICE,,,OK
4,1634.0,Fortune Telling,1400.0,bitmasks,math,,_Satoru_,VIRTUAL,,,OK
5,1646.0,Power Board,2200.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
6,1673.0,Lost Arithmetic Progression,1900.0,combinatorics,math,,_Satoru_,PRACTICE,,,OK
7,1679.0,Toss a Coin to Your Graph...,1900.0,binary search,dfs and similar,,_Satoru_,PRACTICE,,,OK
8,1691.0,Max GEQ Sum,1800.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
9,1691.0,Number of Groups,2300.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
10,1691.0,Sum of Substrings,1400.0,brute force,constructive algorithms,,_Satoru_,CONTESTANT,,,OK
11,1670.0,Very Suspicious,1700.0,binary search,brute force,,_Satoru_,VIRTUAL,,,OK
12,1670.0,Where is the Pizza?,1400.0,data structures,dfs and similar,,_Satoru_,VIRTUAL,,,OK
13,1685.0,Linguistics,2000.0,greedy,implementation,,_Satoru_,PRACTICE,,,OK
14,1316.0,Primitive Primes,1800.0,constructive algorithms,math,,_Satoru_,PRACTICE,,,OK
15,1642.0,Anonymity Is Important,2200.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
16,1642.0,Repetitions Decoding,2000.0,constructive algorithms,sortings,,_Satoru_,VIRTUAL,,,OK
17,1648.0,Integral Array,1800.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
18,1684.0,Traps,1700.0,constructive algorithms,greedy,,_Satoru_,VIRTUAL,,,OK
19,1684.0,Column Swapping,1400.0,brute force,constructive algorithms,,_Satoru_,VIRTUAL,,,OK
20,1677.0,Tokitsukaze and Strange Inequality,1600.0,brute force,data structures,,_Satoru_,PRACTICE,,,TIME_LIMIT_EXCEEDED
21,1472.0,New Year's Puzzle,2100.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
22,1187.0,Tree Painting,2100.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
23,1486.0,Max Median,2100.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
24,1680.0,Binary String,1600.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
25,1591.0,Minimize Distance,1300.0,greedy,math,,_Satoru_,PRACTICE,,,OK
26,1637.0,Best Pair,2100.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
27,1618.0,Array and Operations,1300.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
28,1615.0,And It's Non-Zero,1300.0,bitmasks,greedy,,_Satoru_,PRACTICE,,,OK
29,1669.0,Maximal AND,1300.0,bitmasks,greedy,,_Satoru_,PRACTICE,,,OK
30,1671.0,Insert a Progression,1600.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,WRONG_ANSWER
31,1567.0,Carrying Conundrum,1600.0,bitmasks,combinatorics,,_Satoru_,PRACTICE,,,OK
32,1659.0,Bit Flipping,1300.0,bitmasks,constructive algorithms,,_Satoru_,PRACTICE,,,OK
33,1659.0,Line Empire,1500.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
34,1659.0,Reverse Sort Sum,1900.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
35,1658.0,Shinju and the Lost Permutation,1700.0,constructive algorithms,math,,_Satoru_,PRACTICE,,,OK
36,1658.0,388535 (Hard Version),2300.0,bitmasks,brute force,,_Satoru_,PRACTICE,,,WRONG_ANSWER
37,1658.0,388535 (Easy Version),1600.0,bitmasks,math,,_Satoru_,PRACTICE,,,OK
38,954.0,Castle Defense,2000.0,binary search,data structures,,_Satoru_,PRACTICE,,,WRONG_ANSWER
39,1665.0,GCD Guess,2000.0,bitmasks,chinese remainder theorem,,_Satoru_,PRACTICE,,,OK
40,792.0,Divide by Three,2000.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
41,1661.0,Getting Zero,1300.0,bitmasks,brute force,,_Satoru_,PRACTICE,,,OK
42,1661.0,Water the Trees,1700.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
43,666.0,World Tour,2000.0,graphs,shortest paths,,_Satoru_,PRACTICE,,,OK
44,1060.0,Sergey and Subway,2000.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
45,938.0,Buy a Ticket,2000.0,data structures,graphs,,_Satoru_,PRACTICE,,,OK
46,999.0,Reachability from the Capital,2000.0,dfs and similar,graphs,,_Satoru_,PRACTICE,,,OK
47,242.0,XOR on Segment,2000.0,bitmasks,data structures,,_Satoru_,PRACTICE,,,MEMORY_LIMIT_EXCEEDED
48,359.0,Pair of Numbers,2000.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
49,474.0,Captain Marmot,2000.0,brute force,geometry,,_Satoru_,PRACTICE,,,OK
50,633.0,Fibonacci-ish,2000.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
51,615.0,Multipliers,2000.0,math,number theory,,_Satoru_,PRACTICE,,,OK
52,1654.0,Potion Brewing Class,2100.0,dfs and similar,math,,_Satoru_,CONTESTANT,,,TIME_LIMIT_EXCEEDED
53,1654.0,Alice and the Cake,1400.0,data structures,greedy,,_Satoru_,CONTESTANT,,,OK
54,689.0,Mike and Geometry Problem,2000.0,combinatorics,data structures,,_Satoru_,PRACTICE,,,OK
55,767.0,Garland,2000.0,dfs and similar,graphs,,_Satoru_,PRACTICE,,,OK
56,755.0,PolandBall and Polygon,2000.0,data structures,,,_Satoru_,PRACTICE,,,OK
57,899.0,Segments Removal,2000.0,data structures,dsu,,_Satoru_,PRACTICE,,,OK
58,891.0,Gluttony,2000.0,constructive algorithms,greedy,,_Satoru_,PRACTICE,,,OK
59,1101.0,GCD Counting,2000.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
60,710.0,Generate a String,2000.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
61,877.0,Danil and a Part-time Job,2000.0,bitmasks,data structures,,_Satoru_,PRACTICE,,,OK
62,842.0,Vitya and Strange Lesson,2000.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
63,776.0,The Door Problem,2000.0,2-sat,dfs and similar,,_Satoru_,PRACTICE,,,OK
64,895.0,Square Subsets,2000.0,bitmasks,combinatorics,,_Satoru_,PRACTICE,,,OK
65,797.0,Array Queries,2000.0,brute force,data structures,,_Satoru_,PRACTICE,,,OK
66,1649.0,Game of Ball Passing,1300.0,greedy,implementation,,_Satoru_,CONTESTANT,,,OK
67,1649.0,Weird Sum,1400.0,brute force,implementation,,_Satoru_,CONTESTANT,,,OK
68,777.0,Hanoi Factory,2000.0,brute force,data structures,,_Satoru_,PRACTICE,,,OK
69,863.0,Turn Off The TV,2000.0,data structures,sortings,,_Satoru_,PRACTICE,,,OK
70,818.0,Sofa Thief,2000.0,brute force,implementation,,_Satoru_,PRACTICE,,,OK
71,1520.0,Arranging The Sheep,1400.0,greedy,math,,_Satoru_,PRACTICE,,,OK
72,1534.0,Little Alawn's Puzzle,1300.0,combinatorics,dp,,_Satoru_,PRACTICE,,,OK
73,1541.0,Great Graphs,1400.0,constructive algorithms,graphs,,_Satoru_,PRACTICE,,,OK
74,1033.0,Divisors,2000.0,interactive,math,,_Satoru_,PRACTICE,,,OK
75,1560.0,Make a Power of Two,1300.0,greedy,math,,_Satoru_,PRACTICE,,,OK
76,1559.0,Mocha and Diana (Easy Version),1400.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,RUNTIME_ERROR
77,975.0,Ghosts,2000.0,geometry,math,,_Satoru_,PRACTICE,,,OK
78,1029.0,Multicolored Markers,2000.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
79,965.0,Greedy Arkady,2000.0,math,,,_Satoru_,PRACTICE,,,OK
80,933.0,A Determined Cleanup,2000.0,math,,,_Satoru_,PRACTICE,,,OK
81,1061.0,TV Shows,2000.0,data structures,greedy,,_Satoru_,PRACTICE,,,OK
82,1082.0,Increasing Frequency,2000.0,binary search,dp,,_Satoru_,PRACTICE,,,OK
83,1632.0,New Year Concert,2000.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
84,1638.0,Big Brush,2000.0,constructive algorithms,data structures,,_Satoru_,CONTESTANT,,,WRONG_ANSWER
85,1638.0,Inversion Graph,1300.0,data structures,dsu,,_Satoru_,CONTESTANT,,,OK
86,961.0,Pair Of Lines,2000.0,geometry,,,_Satoru_,PRACTICE,,,OK
87,492.0,Vanya and Exams,1400.0,greedy,sortings,,_Satoru_,PRACTICE,,,OK
88,1637.0,Yet Another Minimization Problem,1800.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
89,1132.0,Clear the String,2000.0,dp,,,_Satoru_,PRACTICE,,,OK
90,1104.0,Game with modulo,2000.0,binary search,interactive,,_Satoru_,PRACTICE,,,OK
91,1129.0,Wrong Answer,2000.0,constructive algorithms,,,_Satoru_,PRACTICE,,,OK
92,1416.0,XOR Inverse,2000.0,bitmasks,data structures,trees,_Satoru_,PRACTICE,,,OK
93,1209.0,Rotate Columns (easy version),2000.0,bitmasks,brute force,,_Satoru_,PRACTICE,,,OK
94,1198.0,Matching vs  Independent Set,2000.0,constructive algorithms,graphs,,_Satoru_,PRACTICE,,,OK
95,1237.0,Balanced Playlist,2000.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
96,1349.0,Orac and Game of Life,2000.0,dfs and similar,graphs,,_Satoru_,PRACTICE,,,OK
97,1321.0,World of Darkraft: Battle for Azathoth,2000.0,data structures,sortings,,_Satoru_,PRACTICE,,,OK
98,1301.0,Time to Run,2000.0,constructive algorithms,graphs,,_Satoru_,PRACTICE,,,OK
99,1209.0,Into Blocks (easy version),2000.0,data structures,dsu,,_Satoru_,PRACTICE,,,OK
100,1214.0,Petya and Construction Set,2000.0,constructive algorithms,graphs,,_Satoru_,PRACTICE,,,OK
101,1316.0,Nash Matrix,2000.0,constructive algorithms,dfs and similar,,_Satoru_,PRACTICE,,,OK
102,1551.0,Fixed Points,2000.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
103,1266.0,Decreasing Debts,2000.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
104,1244.0,Minimizing Difference,2000.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
105,1633.0,Make Them Equal,1600.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
106,1244.0,The Football Season,2000.0,brute force,math,,_Satoru_,PRACTICE,,,OK
107,1632.0,Strange Test,1600.0,binary search,bitmasks,,_Satoru_,PRACTICE,,,OK
108,1280.0,Jeremy Bearimy,2000.0,dfs and similar,graphs,,_Satoru_,PRACTICE,,,OK
109,1234.0,Special Permutations,2000.0,math,,,_Satoru_,PRACTICE,,,OK
110,1388.0,Captain Flint and Treasure,2000.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
111,1408.0,Searchlights,2000.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
112,1427.0,Unshuffling a Deck,2000.0,constructive algorithms,implementation,,_Satoru_,PRACTICE,,,OK
113,1631.0,And Matching,1500.0,bitmasks,constructive algorithms,,_Satoru_,CONTESTANT,,,OK
114,1525.0,Robot Collisions,2000.0,data structures,greedy,,_Satoru_,PRACTICE,,,OK
115,1618.0,Reverse,2000.0,bitmasks,constructive algorithms,,_Satoru_,PRACTICE,,,OK
116,1619.0,Unusual Minesweeper,2000.0,binary search,dfs and similar,,_Satoru_,PRACTICE,,,OK
117,1619.0,Let's Play the Hat?,2000.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
118,1248.0,The World Is Just a Programming Task (Easy Version),2000.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
119,1183.0,Candy Box (hard version),2000.0,greedy,implementation,,_Satoru_,PRACTICE,,,OK
120,1157.0,Maximum Balanced Circle,2000.0,constructive algorithms,dp,,_Satoru_,PRACTICE,,,OK
121,1558.0,Bottom-Tier Reversals,2000.0,constructive algorithms,greedy,,_Satoru_,PRACTICE,,,OK
122,1624.0,Masha-forgetful,2000.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
123,1574.0,The Strongest Build,2000.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
124,1582.0,Pchelyonok and Segments,2000.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
125,1582.0,Korney Korneevich and XOR (easy version),1800.0,bitmasks,dp,,_Satoru_,PRACTICE,,,OK
126,1582.0,"Vupsen, Pupsen and 0",1600.0,constructive algorithms,math,,_Satoru_,PRACTICE,,,OK
127,1584.0,Guess the Permutation,2000.0,binary search,combinatorics,,_Satoru_,PRACTICE,,,OK
128,1612.0,Messages,2000.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
129,1521.0,Nastia and a Hidden Permutation,2000.0,constructive algorithms,interactive,,_Satoru_,PRACTICE,,,OK
130,1165.0,Microtransactions (hard version),2000.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
131,1165.0,Microtransactions (easy version),2000.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
132,1156.0,Match Points,2000.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
133,1183.0,Subsequences (easy version),2000.0,dp,graphs,,_Satoru_,PRACTICE,,,OK
134,1567.0,Expression Evaluation Error,2000.0,constructive algorithms,greedy,,_Satoru_,PRACTICE,,,OK
135,1620.0,Exact Change,2000.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
136,1624.0,Interacdive Problem,2000.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
137,1616.0,Keep the Average High,2000.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
138,1133.0,Spanning Tree with One Fixed Degree,1900.0,constructive algorithms,dfs and similar,,_Satoru_,PRACTICE,,,OK
139,1141.0,Privatization of Roads in Treeland,1900.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
140,1478.0,Nezzar and Binary String,1900.0,data structures,greedy,,_Satoru_,PRACTICE,,,OK
141,1076.0,Vasya and a Tree,1900.0,data structures,trees,,_Satoru_,PRACTICE,,,OK
142,1624.0,MinOr Tree,1900.0,bitmasks,dfs and similar,,_Satoru_,PRACTICE,,,OK
143,1144.0,Median String,1900.0,bitmasks,math,,_Satoru_,PRACTICE,,,OK
144,1105.0,Kilani and the Game,1900.0,dfs and similar,graphs,,_Satoru_,PRACTICE,,,OK
145,1029.0,Concatenated Multiples,1900.0,implementation,math,,_Satoru_,PRACTICE,,,OK
146,702.0,Road to Post Office,1900.0,math,,,_Satoru_,PRACTICE,,,OK
147,993.0,Open Communication,1900.0,bitmasks,brute force,,_Satoru_,PRACTICE,,,OK
148,1000.0,Yet Another Problem On a Subsequence,1900.0,combinatorics,dp,,_Satoru_,PRACTICE,,,OK
149,999.0,Equalize the Remainders,1900.0,data structures,greedy,,_Satoru_,PRACTICE,,,OK
150,660.0,Number of Parallelograms,1900.0,geometry,,,_Satoru_,PRACTICE,,,OK
151,1063.0,"Dwarves, Hats and Extrasensory Abilities",1900.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
152,1077.0,Pictures with Kittens (easy version),1900.0,dp,,,_Satoru_,PRACTICE,,,OK
153,1119.0,Pavel and Triangles,1900.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
154,1561.0,Up the Strip,1900.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
155,1220.0,Alex and Julian,1900.0,bitmasks,math,,_Satoru_,PRACTICE,,,OK
156,1307.0,Cow and Fields,1900.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
157,1305.0,Kuroni and the Celebration,1900.0,constructive algorithms,dfs and similar,,_Satoru_,PRACTICE,,,OK
158,1509.0,Binary Literature,1900.0,constructive algorithms,greedy,,_Satoru_,PRACTICE,,,OK
159,1197.0,Yet Another Subarray Problem,1900.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
160,1183.0,Subsequences (hard version),1900.0,dp,strings,,_Satoru_,PRACTICE,,,OK
161,1200.0,White Lines,1900.0,brute force,data structures,,_Satoru_,PRACTICE,,,OK
162,1202.0,Print a 1337-string...,1900.0,combinatorics,constructive algorithms,,_Satoru_,PRACTICE,,,OK
163,1560.0,Nearest Beautiful Number (easy version),1900.0,binary search,bitmasks,,_Satoru_,PRACTICE,,,OK
164,1569.0,Inconvenient Pairs,1900.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
165,1120.0,Diana and Liana,1900.0,greedy,implementation,,_Satoru_,PRACTICE,,,OK
166,1611.0,Escape The Maze (hard version),1900.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,WRONG_ANSWER
167,1114.0,Flood Fill,1900.0,dp,,,_Satoru_,PRACTICE,,,OK
168,1623.0,Balanced Stone Heaps,1600.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
169,1032.0,Barcelonian Distance,1900.0,geometry,implementation,,_Satoru_,PRACTICE,,,OK
170,1095.0,Almost Regular Bracket Sequence,1900.0,implementation,,,_Satoru_,PRACTICE,,,OK
171,1095.0,Make It Connected,1900.0,dsu,graphs,,_Satoru_,PRACTICE,,,OK
172,1169.0,Good Triple,1900.0,brute force,,,_Satoru_,PRACTICE,,,OK
173,1178.0,Archaeology,1900.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
174,1157.0,N Problems During K Days,1900.0,constructive algorithms,greedy,,_Satoru_,PRACTICE,,,OK
175,1174.0,Ehab and the Expected XOR Problem,1900.0,bitmasks,constructive algorithms,,_Satoru_,PRACTICE,,,OK
176,1243.0,0-1 MST,1900.0,dfs and similar,dsu,,_Satoru_,PRACTICE,,,MEMORY_LIMIT_EXCEEDED
177,1228.0,Complete Tripartite,1900.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
178,190.0,Counter Attack,2100.0,data structures,dsu,,_Satoru_,PRACTICE,,,OK
179,920.0,Connected Components?,2100.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
180,1172.0,Nauuo and Circle,1900.0,combinatorics,dfs and similar,,_Satoru_,PRACTICE,,,OK
181,1213.0,Two Small Strings,1900.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
182,1216.0,Numerical Sequence (easy version),1900.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
183,1622.0,Set or Decrease,1600.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
184,1622.0,Shuffle,2000.0,combinatorics,math,,_Satoru_,PRACTICE,,,OK
185,1117.0,Magic Ship,1900.0,binary search,,,_Satoru_,PRACTICE,,,OK
186,1117.0,Magic Gems,2100.0,dp,math,,_Satoru_,PRACTICE,,,RUNTIME_ERROR
187,1207.0,XOR Guessing,1900.0,bitmasks,interactive,,_Satoru_,PRACTICE,,,OK
188,1175.0,Array Splitting,1900.0,greedy,sortings,,_Satoru_,PRACTICE,,,OK
189,1155.0,Beautiful Array,1900.0,brute force,data structures,,_Satoru_,PRACTICE,,,OK
190,1163.0,Power Transmission (Hard Edition),1900.0,data structures,geometry,,_Satoru_,PRACTICE,,,OK
191,1163.0,Power Transmission (Easy Edition),1900.0,brute force,geometry,,_Satoru_,PRACTICE,,,OK
192,1615.0,Menorah,1600.0,brute force,graphs,,_Satoru_,PRACTICE,,,OK
193,1610.0,Keshi Is Throwing a Party,1600.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
194,1614.0,Divan and Kostomuksha (easy version),2100.0,dp,number theory,,_Satoru_,PRACTICE,,,OK
195,1614.0,Divan and bitwise operations,1500.0,bitmasks,combinatorics,,_Satoru_,VIRTUAL,,,OK
196,1618.0,Singers' Tour,1700.0,constructive algorithms,math,,_Satoru_,PRACTICE,,,OK
197,1619.0,MEX and Increments,1700.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
198,1619.0,New Year's Problem,1800.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
199,1617.0,Too Many Impostors (easy version),1800.0,constructive algorithms,implementation,,_Satoru_,VIRTUAL,,,OK
200,1617.0,Paprika and Permutation,1300.0,binary search,greedy,,_Satoru_,VIRTUAL,,,OK
201,1609.0,Social Network,1600.0,dsu,graphs,,_Satoru_,VIRTUAL,,,OK
202,1609.0,Complex Market Analysis,1400.0,binary search,dp,,_Satoru_,VIRTUAL,,,OK
203,1620.0,Replace the Numbers,1900.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
204,547.0,Mike and Feet,1900.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
205,463.0,Gargari and Permutations,1900.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
206,2.0,The least round way,2000.0,dp,math,,_Satoru_,PRACTICE,,,OK
207,161.0,Distance in Tree,1800.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
208,577.0,Modulo Sum,1900.0,combinatorics,data structures,,_Satoru_,PRACTICE,,,OK
209,448.0,Painting Fence,1900.0,divide and conquer,dp,,_Satoru_,PRACTICE,,,OK
210,1591.0,Yet Another Sorting Problem,1900.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
211,1612.0,X-Magic Pair,1600.0,math,number theory,,_Satoru_,PRACTICE,,,OK
212,1608.0,Game Master,1700.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
213,607.0,Zuma,1900.0,dp,,,_Satoru_,PRACTICE,,,OK
